[2025-05-14T15:58:20.674+0800][1.090s][901][902][debug] Clearing root 39: was 0x00000007fef01298
[2025-05-14T15:58:20.675+0800][1.090s][901][902][debug] Clearing root 546: was 0x00000007fef0ef60
[2025-05-14T15:58:20.675+0800][1.090s][901][902][trace] Restored [Ljava.lang.ClassLoader; archived mirror 0x00000007fef0ef60
[2025-05-14T15:58:20.675+0800][1.090s][901][902][debug] Clearing root 15: was 0x00000007fef00770
[2025-05-14T15:58:20.675+0800][1.090s][901][902][trace] Restored java.lang.System archived mirror 0x00000007fef00770
[2025-05-14T15:58:20.675+0800][1.090s][901][902][debug] Clearing root 16: was 0x00000007fef00810
[2025-05-14T15:58:20.675+0800][1.090s][901][902][debug] Clearing root 36: was 0x00000007fef01118
[2025-05-14T15:58:20.675+0800][1.091s][901][902][trace] Restored java.lang.Throwable archived mirror 0x00000007fef01118
[2025-05-14T15:58:20.675+0800][1.091s][901][902][debug] Clearing root 37: was 0x00000007fef011b8
[2025-05-14T15:58:20.675+0800][1.091s][901][902][debug] Clearing root 437: was 0x00000007fef0c330
[2025-05-14T15:58:20.675+0800][1.091s][901][902][trace] Restored [Ljava.lang.Throwable; archived mirror 0x00000007fef0c330
[2025-05-14T15:58:20.675+0800][1.091s][901][902][debug] Clearing root 164: was 0x00000007fef04660
[2025-05-14T15:58:20.675+0800][1.091s][901][902][trace] Restored java.lang.Error archived mirror 0x00000007fef04660
[2025-05-14T15:58:20.676+0800][1.091s][901][902][debug] Clearing root 744: was 0x00000007fef14748
[2025-05-14T15:58:20.676+0800][1.091s][901][902][trace] Restored [Ljava.lang.Error; archived mirror 0x00000007fef14748
[2025-05-14T15:58:20.676+0800][1.091s][901][902][debug] Clearing root 40: was 0x00000007fef01350
[2025-05-14T15:58:20.676+0800][1.091s][901][902][trace] Restored java.lang.ThreadDeath archived mirror 0x00000007fef01350
[2025-05-14T15:58:20.676+0800][1.091s][901][902][debug] Clearing root 162: was 0x00000007fef04570
[2025-05-14T15:58:20.676+0800][1.092s][901][902][trace] Restored java.lang.Exception archived mirror 0x00000007fef04570
[2025-05-14T15:58:20.676+0800][1.092s][901][902][debug] Clearing root 163: was 0x00000007fef045e8
[2025-05-14T15:58:20.676+0800][1.092s][901][902][trace] Restored java.lang.RuntimeException archived mirror 0x00000007fef045e8
[2025-05-14T15:58:20.676+0800][1.092s][901][902][debug] Clearing root 98: was 0x00000007fef02a38
[2025-05-14T15:58:20.676+0800][1.092s][901][902][trace] Restored java.lang.SecurityManager archived mirror 0x00000007fef02a38
[2025-05-14T15:58:20.676+0800][1.092s][901][902][debug] Clearing root 99: was 0x00000007fef02ac8
[2025-05-14T15:58:20.677+0800][1.092s][901][902][debug] Clearing root 106: was 0x00000007fef02e10
[2025-05-14T15:58:20.677+0800][1.092s][901][902][trace] Restored java.security.ProtectionDomain archived mirror 0x00000007fef02e10
[2025-05-14T15:58:20.677+0800][1.092s][901][902][debug] Clearing root 107: was 0x00000007fef02e88
[2025-05-14T15:58:20.677+0800][1.092s][901][902][debug] Clearing root 241: was 0x00000007fef068d0
[2025-05-14T15:58:20.677+0800][1.092s][901][902][trace] Restored [Ljava.security.ProtectionDomain; archived mirror 0x00000007fef068d0
[2025-05-14T15:58:20.677+0800][1.092s][901][902][debug] Clearing root 100: was 0x00000007fef02be8
[2025-05-14T15:58:20.677+0800][1.093s][901][902][trace] Restored java.security.AccessControlContext archived mirror 0x00000007fef02be8
[2025-05-14T15:58:20.677+0800][1.093s][901][902][debug] Clearing root 101: was 0x00000007fef02c60
[2025-05-14T15:58:20.677+0800][1.093s][901][902][debug] Clearing root 102: was 0x00000007fef02ca8
[2025-05-14T15:58:20.677+0800][1.093s][901][902][trace] Restored java.security.AccessController archived mirror 0x00000007fef02ca8
[2025-05-14T15:58:20.677+0800][1.093s][901][902][debug] Clearing root 103: was 0x00000007fef02d20
[2025-05-14T15:58:20.678+0800][1.093s][901][902][debug] Clearing root 108: was 0x00000007fef02ec8
[2025-05-14T15:58:20.678+0800][1.093s][901][902][trace] Restored java.security.SecureClassLoader archived mirror 0x00000007fef02ec8
[2025-05-14T15:58:20.678+0800][1.093s][901][902][debug] Clearing root 322: was 0x00000007fef09128
[2025-05-14T15:58:20.678+0800][1.093s][901][902][trace] Restored java.lang.ReflectiveOperationException archived mirror 0x00000007fef09128
[2025-05-14T15:58:20.678+0800][1.093s][901][902][debug] Clearing root 153: was 0x00000007fef04190
[2025-05-14T15:58:20.678+0800][1.094s][901][902][trace] Restored java.lang.ClassNotFoundException archived mirror 0x00000007fef04190
[2025-05-14T15:58:20.678+0800][1.094s][901][902][debug] Clearing root 154: was 0x00000007fef04210
[2025-05-14T15:58:20.678+0800][1.094s][901][902][debug] Clearing root 139: was 0x00000007fef03b90
[2025-05-14T15:58:20.678+0800][1.094s][901][902][trace] Restored java.lang.Record archived mirror 0x00000007fef03b90
[2025-05-14T15:58:20.678+0800][1.094s][901][902][debug] Clearing root 158: was 0x00000007fef04390
[2025-05-14T15:58:20.678+0800][1.094s][901][902][trace] Restored java.lang.LinkageError archived mirror 0x00000007fef04390
[2025-05-14T15:58:20.679+0800][1.094s][901][902][debug] Clearing root 167: was 0x00000007fef047c8
[2025-05-14T15:58:20.679+0800][1.094s][901][902][trace] Restored java.lang.NoClassDefFoundError archived mirror 0x00000007fef047c8
[2025-05-14T15:58:20.679+0800][1.094s][901][902][debug] Clearing root 152: was 0x00000007fef04118
[2025-05-14T15:58:20.679+0800][1.094s][901][902][trace] Restored java.lang.ClassCastException archived mirror 0x00000007fef04118
[2025-05-14T15:58:20.679+0800][1.094s][901][902][debug] Clearing root 151: was 0x00000007fef040a0
[2025-05-14T15:58:20.679+0800][1.094s][901][902][trace] Restored java.lang.ArrayStoreException archived mirror 0x00000007fef040a0
[2025-05-14T15:58:20.679+0800][1.095s][901][902][debug] Clearing root 170: was 0x00000007fef04930
[2025-05-14T15:58:20.679+0800][1.095s][901][902][trace] Restored java.lang.VirtualMachineError archived mirror 0x00000007fef04930
[2025-05-14T15:58:20.679+0800][1.095s][901][902][debug] Clearing root 745: was 0x00000007fef147b8
[2025-05-14T15:58:20.679+0800][1.095s][901][902][trace] Restored [Ljava.lang.VirtualMachineError; archived mirror 0x00000007fef147b8
[2025-05-14T15:58:20.679+0800][1.095s][901][902][debug] Clearing root 166: was 0x00000007fef04750
[2025-05-14T15:58:20.680+0800][1.095s][901][902][trace] Restored java.lang.InternalError archived mirror 0x00000007fef04750
[2025-05-14T15:58:20.680+0800][1.095s][901][902][debug] Clearing root 169: was 0x00000007fef048b8
[2025-05-14T15:58:20.680+0800][1.095s][901][902][trace] Restored java.lang.OutOfMemoryError archived mirror 0x00000007fef048b8
[2025-05-14T15:58:20.680+0800][1.095s][901][902][debug] Clearing root 746: was 0x00000007fef14828
[2025-05-14T15:58:20.680+0800][1.095s][901][902][trace] Restored [Ljava.lang.OutOfMemoryError; archived mirror 0x00000007fef14828
[2025-05-14T15:58:20.680+0800][1.095s][901][902][debug] Clearing root 171: was 0x00000007fef049a8
[2025-05-14T15:58:20.680+0800][1.096s][901][902][trace] Restored java.lang.StackOverflowError archived mirror 0x00000007fef049a8
[2025-05-14T15:58:20.680+0800][1.096s][901][902][debug] Clearing root 156: was 0x00000007fef042a0
[2025-05-14T15:58:20.680+0800][1.096s][901][902][trace] Restored java.lang.IllegalMonitorStateException archived mirror 0x00000007fef042a0
[2025-05-14T15:58:20.680+0800][1.096s][901][902][debug] Clearing root 71: was 0x00000007fef02160
[2025-05-14T15:58:20.680+0800][1.096s][901][902][trace] Restored java.lang.ref.Reference archived mirror 0x00000007fef02160
[2025-05-14T15:58:20.681+0800][1.096s][901][902][debug] Clearing root 72: was 0x00000007fef021d8
[2025-05-14T15:58:20.681+0800][1.096s][901][902][debug] Clearing root 1050: was 0x00000007fef1eee0
[2025-05-14T15:58:20.681+0800][1.096s][901][902][trace] Restored [Ljava.lang.ref.Reference; archived mirror 0x00000007fef1eee0
[2025-05-14T15:58:20.681+0800][1.096s][901][902][debug] Clearing root 73: was 0x00000007fef021f0
[2025-05-14T15:58:20.681+0800][1.096s][901][902][trace] Restored java.lang.ref.SoftReference archived mirror 0x00000007fef021f0
[2025-05-14T15:58:20.681+0800][1.096s][901][902][debug] Clearing root 1224: was 0x00000007fef22dd8
[2025-05-14T15:58:20.681+0800][1.097s][901][902][trace] Restored [Ljava.lang.ref.SoftReference; archived mirror 0x00000007fef22dd8
[2025-05-14T15:58:20.681+0800][1.097s][901][902][debug] Clearing root 74: was 0x00000007fef02268
[2025-05-14T15:58:20.681+0800][1.097s][901][902][trace] Restored java.lang.ref.WeakReference archived mirror 0x00000007fef02268
[2025-05-14T15:58:20.681+0800][1.097s][901][902][debug] Clearing root 1051: was 0x00000007fef1ef50
[2025-05-14T15:58:20.681+0800][1.097s][901][902][trace] Restored [Ljava.lang.ref.WeakReference; archived mirror 0x00000007fef1ef50
[2025-05-14T15:58:20.681+0800][1.097s][901][902][debug] Clearing root 75: was 0x00000007fef022d8
[2025-05-14T15:58:20.682+0800][1.097s][901][902][trace] Restored java.lang.ref.FinalReference archived mirror 0x00000007fef022d8
[2025-05-14T15:58:20.682+0800][1.097s][901][902][debug] Clearing root 76: was 0x00000007fef02348
[2025-05-14T15:58:20.682+0800][1.097s][901][902][debug] Clearing root 77: was 0x00000007fef02360
[2025-05-14T15:58:20.682+0800][1.097s][901][902][trace] Restored java.lang.ref.PhantomReference archived mirror 0x00000007fef02360
[2025-05-14T15:58:20.682+0800][1.097s][901][902][debug] Clearing root 78: was 0x00000007fef023d0
[2025-05-14T15:58:20.682+0800][1.098s][901][902][trace] Restored java.lang.ref.Finalizer archived mirror 0x00000007fef023d0
[2025-05-14T15:58:20.682+0800][1.098s][901][902][debug] Clearing root 482: was 0x00000007fef0d530
[2025-05-14T15:58:20.682+0800][1.098s][901][902][trace] Restored java.lang.Runnable archived mirror 0x00000007fef0d530
[2025-05-14T15:58:20.682+0800][1.098s][901][902][debug] Clearing root 849: was 0x00000007fef17290
[2025-05-14T15:58:20.682+0800][1.098s][901][902][trace] Restored [Ljava.lang.Runnable; archived mirror 0x00000007fef17290
[2025-05-14T15:58:20.683+0800][1.098s][901][902][debug] Clearing root 31: was 0x00000007fef00f38
[2025-05-14T15:58:20.683+0800][1.098s][901][902][trace] Restored java.lang.Thread archived mirror 0x00000007fef00f38
[2025-05-14T15:58:20.683+0800][1.098s][901][902][debug] Clearing root 32: was 0x00000007fef00fc8
[2025-05-14T15:58:20.683+0800][1.098s][901][902][debug] Clearing root 242: was 0x00000007fef06940
[2025-05-14T15:58:20.683+0800][1.098s][901][902][trace] Restored [Ljava.lang.Thread; archived mirror 0x00000007fef06940
[2025-05-14T15:58:20.683+0800][1.098s][901][902][debug] Clearing root 488: was 0x00000007fef0d7d8
[2025-05-14T15:58:20.683+0800][1.099s][901][902][trace] Restored java.lang.Thread$UncaughtExceptionHandler archived mirror 0x00000007fef0d7d8
[2025-05-14T15:58:20.683+0800][1.099s][901][902][debug] Clearing root 751: was 0x00000007fef14a58
[2025-05-14T15:58:20.683+0800][1.099s][901][902][trace] Restored [Ljava.lang.Thread$UncaughtExceptionHandler; archived mirror 0x00000007fef14a58
[2025-05-14T15:58:20.683+0800][1.099s][901][902][debug] Clearing root 33: was 0x00000007fef01008
[2025-05-14T15:58:20.683+0800][1.099s][901][902][trace] Restored java.lang.ThreadGroup archived mirror 0x00000007fef01008
[2025-05-14T15:58:20.683+0800][1.099s][901][902][debug] Clearing root 34: was 0x00000007fef01078
[2025-05-14T15:58:20.684+0800][1.099s][901][902][debug] Clearing root 243: was 0x00000007fef069b0
